1, 4
3, 4
3, 6
1, 6
1, 4

-7, -5
-7, 2

-7, 13
-8, 12
-8, 11
-7, 10
7, 10
8, 11
8, 12
7, 13
-7, 13

-10, -8
-13, -9
-16, -8
-17, -6
-10, 0

7, 2
7, -5

2, 1
4, 1
7, 2
9, 3
10, 0
10, -3
9, -4
7, -5
4, -6
-4, -6
-7, -5
-9, -4
-10, -3
-10, 0
-9, 3
-7, 2
-4, 1
-2, 1

3,-15
2,-19
4,-20
7,-20
9,-17
6,-14
6,-9
4,-6

-4, 10
-6, 8
-6, 4
-4, 2
-1, 2
0, 3
0, 9
-1, 10

7,10
8,8
9,3

-3,-6
-3,1

-3,-15
-2,-19
-4,-20
-7,-20
-9,-17
-6,-14
-6,-9
-4,-6

10,-8
13,-9
16,-8
17,-6
10,0

-6,13
-6,14
-4,17
-2,18
2,18
4,17
6,14
6,13

-3,4
-1,4
-1,6
-3,6
-3,4

3,-6
3,1

-9,3
-8,8
-7,10

4,10
6,8
6,4
4,2
1,2
0,3

-2,18
-2,19
-1,20
-1,20
1,20
2,19
2,18

1,10
0,9

-3,2
0,-1
3,2

-10,-3
-10,-8
-8,-12
-6,-14
-3,-15
3,-15
6,-14
8,-12
10,-8
10,-3
